,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,50,51,53,54,55,56,57,58,59,60,61,62,63,64,67,68,69,72,74,75,76,77,78,79,80,81,82,83,84,85,86,89,90,91,92,96,98,99,101,102,103,104,105,106,107,110,111,112,113,114,115,117,119,120,121,122,126,127,131,133,134,136,141,142,143,145,150,154,157,161,163,164,201,202,203,222,223,236,238,240,245,254,266,267,268,412,420,421,427,429,432,497,498,516,555
1,NA,1,0,0,0,0,0,-1,0,0,-1,1,-2,0,0,-4,0,-1,0,0,0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,-1,1,-1,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,-2,0,0,0,1,-2,-1,0
2,1,NA,-3,5,1,0,7,-4,4,0,0,2,5,0,1,12,0,0,0,0,0,-4,2,-7,5,-3,12,0,0,-2,-1,0,0,-2,0,-1,0,3,21,3,-6,-3,-13,4,0,0,6,11,1,2,5,1,-2,2,-2,0,3,0,3,-1,-2,3,-1,-2,0,2,-1,0,1,-1,0,-5,0,0,0,0,2,-2,3,6,1,-8,3,-2,0,0,-3,1,1,-1,0,10,0,-1,-1,-13,1,0,-5,0,2,5,-5,0,0,0,1,-2,0,1,0,18,4,-1,1,1,10,9,1,2,0,2,3,10,2,2,1,0,-2,-1,0,-10,1,0,0,-1,2,-1,-1,-1,1
3,0,-3,NA,0,1,1,0,-2,-1,0,0,-7,0,5,0,-2,0,-3,0,0,0,1,0,3,7,1,4,2,0,0,2,0,0,0,0,2,0,0,-9,4,-9,0,-6,0,0,-6,0,-1,-2,2,0,0,0,3,0,1,0,0,0,0,1,-2,0,3,1,-1,-1,0,0,-1,0,-11,0,0,0,3,-1,3,0,0,-1,1,1,-1,0,0,0,1,0,0,1,0,-3,0,-5,-3,0,0,1,0,4,0,0,0,0,-1,0,0,-5,0,0,10,-7,1,-1,0,0,2,3,-1,0,-1,-3,0,0,0,0,0,1,1,0,-2,-1,-1,0,-1,0,0,-4,0,0
4,0,5,0,NA,-1,-2,0,1,1,0,0,-6,-2,-1,-1,1,0,0,0,-1,-1,0,1,-10,9,0,0,-2,1,0,3,0,0,0,0,-4,0,0,5,-1,-12,0,-10,0,0,-1,-1,6,-1,2,0,3,-1,0,-4,0,0,1,1,-9,-1,3,0,-1,0,0,-2,0,1,-1,-2,4,0,1,1,4,-2,-4,0,0,-2,1,-1,-1,-1,0,0,5,0,0,-3,-1,2,0,-1,2,0,2,1,0,3,0,0,1,0,0,0,0,-1,0,1,1,-3,-1,3,0,0,4,1,-2,-1,1,-1,-4,0,0,1,1,2,3,0,-3,0,-1,1,-1,0,-1,-14,-2,-1
5,0,1,1,-1,NA,-7,29,-2,-5,0,0,33,-4,7,-4,12,-2,4,0,0,5,-2,0,11,24,1,34,0,-2,-4,4,0,0,-2,0,24,-1,11,36,4,3,-2,-3,1,-3,1,-1,23,-5,6,5,-1,-2,13,0,0,-1,0,1,0,5,-3,12,0,1,0,0,0,5,0,7,24,0,0,0,12,-1,-7,6,6,-6,-4,2,0,0,0,-1,0,20,1,-1,-3,7,-2,0,-3,2,23,6,0,0,7,7,8,-1,-2,1,10,0,18,10,41,4,0,4,6,-3,26,2,36,0,2,9,-11,0,0,5,0,1,5,-4,8,1,0,0,-4,3,40,30,-6,-1
6,0,0,1,-2,-7,NA,2,1,0,0,-1,2,0,4,-1,2,0,1,0,-1,-1,0,0,1,-5,0,0,1,0,0,0,0,0,-1,-1,0,0,0,-1,3,0,0,2,0,0,-1,1,-3,-3,0,1,-1,0,0,-2,0,-1,0,0,1,0,0,-3,3,0,0,-1,0,0,0,0,-3,0,0,0,0,0,-3,1,-1,0,-1,1,0,0,0,0,-2,-2,0,0,1,1,0,0,0,0,0,1,0,3,0,-1,1,0,0,-2,1,-1,-3,-2,1,0,-1,-2,-1,-1,2,2,1,0,0,-2,0,0,0,1,0,0,-1,-1,-3,0,2,0,2,0,3,-4,0,-1
7,0,7,0,0,29,2,NA,13,5,1,-1,-5,1,-11,1,17,0,4,0,1,0,2,2,-11,13,1,15,0,0,0,3,0,-1,0,0,0,-1,0,11,3,4,0,12,-1,0,1,0,13,-3,0,0,1,1,2,-3,-3,0,0,-1,-6,-1,-1,0,-3,0,4,-1,1,3,1,1,4,0,-2,-1,-1,-1,1,0,0,-3,-9,0,-1,0,0,0,16,0,-1,-1,-6,-1,0,-2,3,0,0,1,0,26,-7,-10,1,0,-1,0,0,4,0,-1,9,7,-2,0,-1,0,9,-6,18,3,-3,0,0,0,7,0,0,0,2,0,15,6,2,-1,1,-2,13,25,3,1
8,-1,-4,-2,1,-2,1,13,NA,-1,0,-1,-18,0,7,-6,-19,0,-10,-1,1,-2,6,-5,-8,5,4,-18,8,-2,2,-1,0,-3,2,-3,6,0,-9,-18,1,2,2,-12,3,0,-8,-4,3,-3,3,1,-6,-1,-3,-2,3,1,0,-2,-9,-12,2,2,-5,0,-1,-1,-3,1,-1,2,-2,-1,0,1,-6,1,-4,5,-4,3,-14,1,-2,0,3,-2,-6,1,1,-2,-11,4,0,-9,-10,0,-4,2,1,-15,-1,-7,0,0,0,-5,0,-7,0,1,0,-5,-4,0,-1,-4,3,-23,-27,-3,-2,-27,-5,5,2,0,0,-8,2,1,-6,1,1,2,-7,5,9,8,-4,-4
9,0,4,-1,1,-5,0,5,-1,NA,0,0,-1,-7,0,1,0,0,0,0,0,-1,0,0,4,0,0,-1,0,0,-1,0,0,0,-2,1,-2,0,0,-3,0,1,0,1,0,0,-2,0,1,0,1,-3,0,1,-1,-2,0,0,0,0,-3,0,1,0,-2,0,-1,1,0,0,1,1,0,0,0,0,2,1,0,-1,3,-1,-1,1,0,-1,0,0,3,-2,0,2,1,-1,-1,-1,-2,0,-6,0,0,-1,-1,1,2,0,0,0,2,-1,2,0,-3,-2,0,-4,0,-1,-2,1,-3,0,-1,1,-1,0,0,0,0,-1,-1,0,0,0,-2,0,-1,0,0,0,-2,0
10,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-1,0,0,0,0,-1,-1,-1,0,0,NA,-2,-1,0,0,1,0,-2,0,0,0,0,-1,-1,-1,-1,-3,0,0,0,-1,0,0,-1,0,-1,0,0,-2,-2,-3,0,-3,-3,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,-1,-1,-1,0,-4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,-1,-4,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,-2,0,-1,-1,0
12,1,2,-7,-6,33,2,-5,-18,-1,1,-2,NA,-13,-5,0,0,1,-7,0,0,-2,0,1,5,0,-3,25,-22,1,9,0,0,-2,1,-4,-5,0,-5,8,0,-1,2,-12,0,-1,-27,2,9,0,8,0,11,-1,-4,-1,2,4,-1,0,-2,-10,-1,3,-7,0,2,-3,-1,-2,-1,2,23,1,-2,1,1,1,0,4,-11,-3,-3,0,0,-5,1,2,17,23,-1,-3,-9,0,1,-4,-7,-1,15,7,1,28,5,-4,0,0,0,3,10,1,31,0,30,-6,1,-12,2,-8,14,0,0,-2,-4,0,-7,1,-3,4,0,14,0,-6,0,6,-6,6,-3,0,0,-17,-20,0
13,-2,5,0,-2,-4,0,1,0,-7,0,-1,-13,NA,5,-4,12,-1,11,0,-3,0,-1,-1,4,2,2,-1,-6,0,-1,1,-2,0,0,1,-5,0,-1,5,-3,0,1,-11,4,0,-9,-2,-14,-7,-4,0,-6,-1,3,1,3,1,0,3,19,-3,2,0,2,-1,-5,4,-3,2,2,0,-6,0,-2,-1,3,-1,3,1,-3,2,0,-4,-1,-1,-1,0,2,5,0,2,0,-1,0,0,0,-1,18,4,1,20,-4,3,0,0,0,3,2,-8,0,-1,6,2,-6,0,1,-1,-16,-4,-11,1,1,6,-5,-1,-3,0,0,-1,-4,0,-12,-2,-6,2,-1,-5,16,12,-4,-3
14,0,0,5,-1,7,4,-11,7,0,0,0,-5,5,NA,2,-4,0,10,-1,1,1,-2,0,-3,-4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,10,10,0,1,-1,-1,-11,0,-5,-2,1,-1,1,-1,1,-4,1,1,0,1,-16,-3,2,1,2,0,0,5,1,0,-3,0,2,0,0,0,0,0,2,0,-2,0,-4,4,0,-1,-3,-2,9,-3,0,2,-5,-2,1,2,-6,0,-2,0,0,23,1,0,0,0,0,3,2,2,2,-1,-8,-2,-4,-5,1,-11,7,-8,14,1,3,9,-1,-1,0,2,0,-1,-3,3,2,3,-5,2,-3,-2,21,12,-2,0
15,0,1,0,-1,-4,-1,1,-6,1,0,0,0,-4,2,NA,1,0,0,0,0,0,0,-1,-5,-4,-1,4,0,0,1,-2,0,0,-1,0,3,0,0,6,-3,-2,-1,-1,2,-1,-3,-2,0,0,-1,-1,-2,0,-1,0,0,1,0,0,0,0,1,1,-1,0,1,0,0,1,0,0,0,0,0,0,2,0,2,-2,2,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,1,-2,-2,0,0,0,-1,-1,1,3,1,0,0,0,0,2,-1,-2,0,0,-1,0,-4,0,0,1,1,0,5,2,0,1,-1,3,1,0,-1,-3,0,-3,0
16,-4,12,-2,1,12,2,17,-19,0,0,1,0,12,-4,1,NA,-1,-1,-2,-1,1,-2,1,12,0,-1,20,-3,1,5,3,0,0,-1,2,-3,0,-1,0,0,3,-1,1,0,0,-13,-3,6,0,-4,-2,-2,0,3,-2,4,3,2,0,1,0,-3,2,-5,0,-4,0,1,1,-2,1,4,0,-1,-1,-2,0,0,-2,-8,0,-2,1,0,1,1,-1,-15,-4,0,0,-4,0,-1,-1,-1,0,-1,-5,0,3,5,5,0,0,0,-4,6,-3,11,0,7,-6,0,-2,1,-14,9,0,0,1,1,0,1,-1,-2,-3,0,2,0,-2,0,-1,0,3,-1,0,0,-3,4,0
17,0,0,0,0,-2,0,0,0,0,0,0,1,-1,0,0,-1,NA,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
18,-1,0,-3,0,4,1,4,-10,0,1,-2,-7,11,10,0,-1,0,NA,0,-1,0,0,1,-6,0,-3,3,-3,0,1,-3,0,0,0,-2,5,0,-3,-3,4,-6,0,-1,-2,1,0,2,0,-1,-1,3,-2,0,2,1,-1,-2,1,1,7,0,-2,1,-4,0,1,-2,0,-1,-1,2,0,0,0,-2,-1,0,0,-1,0,-1,0,-4,0,-3,0,0,3,4,0,1,0,-5,0,-1,5,-1,0,0,1,1,1,3,2,0,-1,0,-2,-2,-3,5,0,-5,-1,-5,2,0,-2,1,0,1,0,-6,0,1,2,-3,0,-2,3,-3,-8,-1,-4,2,0,1,6,0,-14,-1
19,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-2,0,0,NA,0,-1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,-2,0,0,1,2,0,0,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,5,0,0,1,0,-1,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
20,0,0,0,-1,0,-1,1,1,0,0,0,0,-3,1,0,-1,1,-1,0,NA,0,1,1,-2,-1,0,3,0,1,2,-1,0,0,1,0,0,0,-1,1,0,-1,0,-1,0,0,0,2,2,0,-1,0,0,1,2,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-2,1,0,0,-2,0,1,0,-1,0,-1,1,0,0,0,-1,0,-2,0,0,1,0,0,0,3,0,-2,2,0,0,-5,-1,0,0,0,1,2,0,0,0,6,1,0,2,-1,1,-1,4,-2,0,-1,-1,0,0,0,0,0,2,0,3,1,0,0,0,-1,0,3,0,0,0
21,0,0,0,-1,5,-1,0,-2,-1,0,0,-2,0,1,0,1,0,0,-1,0,NA,0,0,2,-4,0,-1,-1,0,0,0,0,0,0,0,0,0,3,-2,0,-3,0,0,2,0,-4,0,0,1,0,0,-2,0,-2,1,0,-1,0,0,0,0,0,1,1,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,-2,0,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,-1,1,2,1,0,0,-2,-3,1,-1,2,0,-1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,-3,-2
22,1,-4,1,0,-2,0,2,6,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,NA,0,-5,1,-1,-6,0,0,0,2,0,0,1,0,0,0,-1,4,1,3,0,-3,0,0,-1,1,0,0,0,0,1,-1,2,1,2,0,0,3,-6,0,1,3,1,0,0,-1,0,2,0,1,0,0,0,0,1,1,0,-2,2,-1,0,3,1,-1,0,0,-7,4,1,0,0,0,-1,-2,0,0,-2,0,1,8,-3,-2,0,0,0,1,2,0,-8,-2,0,-2,2,0,0,-3,-2,3,0,0,0,4,-1,0,0,0,0,1,-1,0,-3,1,2,-1,0,1,-4,0,1,-1
23,0,2,0,1,0,0,2,-5,0,0,-1,1,-1,0,-1,1,0,1,0,1,0,0,NA,2,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,-2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-2,-1,0,-2,0,0,1,0,-6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,4,-1,-1,0,0,0,-1,0,0,1,-1,0,0,0,1,0,1,1,0,3,1,-1,2,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,3,0,0
24,-1,-7,3,-10,11,1,-11,-8,4,0,-1,5,4,-3,-5,12,-1,-6,0,-2,2,-5,2,NA,-1,0,5,-3,1,-2,2,0,-3,-1,1,0,0,-2,0,3,11,1,2,5,-3,-5,-3,12,-4,-1,0,2,0,2,-2,0,3,0,-2,-7,-4,-1,-8,3,0,0,-6,1,-2,-2,0,27,0,0,-1,0,0,-3,-2,-4,0,-1,-1,-1,0,0,2,-6,11,-2,-1,-2,3,-1,-4,0,1,12,3,0,14,-3,4,1,0,0,1,7,1,1,2,-3,2,-3,-5,-2,2,0,-13,-8,-1,-7,-4,-3,-3,-1,-4,1,-4,-2,1,-21,-1,-4,2,-3,2,-4,-18,-4,-2
25,0,5,7,9,24,-5,13,5,0,0,-1,0,2,-4,-4,0,-1,0,2,-1,-4,1,0,-1,NA,-1,0,8,0,-7,-9,0,-2,0,0,-2,0,1,21,0,-5,-1,-8,0,0,2,-6,15,0,-6,-1,0,-1,6,0,-2,0,-1,1,-15,-2,6,10,0,0,-3,-5,2,8,2,2,14,2,-2,0,6,0,0,5,7,4,-7,1,0,-3,2,-2,22,1,1,-8,2,0,-5,-2,-15,3,8,1,1,24,1,1,9,-1,0,7,4,-5,-9,0,25,-4,-9,-9,3,-7,19,0,6,4,-4,0,1,0,-3,-4,2,5,0,2,0,5,-3,6,-1,0,0,-8,-2,-1
26,0,-3,1,0,1,0,1,4,0,0,-1,-3,2,0,-1,-1,0,-3,0,0,0,-1,0,0,-1,NA,-2,0,0,-1,0,0,0,0,0,-3,0,0,0,1,-2,0,0,-1,0,-3,0,2,0,0,0,1,-1,1,0,0,0,0,0,0,2,1,0,0,0,0,-2,0,1,0,0,-1,0,0,0,0,0,0,-1,2,-1,0,0,-1,0,0,0,3,-2,0,1,2,0,0,0,3,0,0,0,0,-1,-3,0,1,0,0,0,1,0,-4,0,-2,1,0,-3,0,-3,4,1,-4,-1,-1,3,1,0,0,0,0,-3,0,0,-1,0,-1,1,0,0,0,1,-1,0
27,-1,12,4,0,34,0,15,-18,-1,0,-3,25,-1,0,4,20,0,3,0,3,-1,-6,0,5,0,-2,NA,-1,1,5,0,0,0,3,0,-4,1,6,8,-5,0,0,0,-2,1,2,2,11,-2,1,6,-6,0,0,0,3,1,0,-2,15,-2,0,8,3,0,0,2,2,0,0,1,46,0,0,1,0,0,0,0,16,0,-4,8,-2,-3,0,0,27,8,0,-1,4,-1,0,0,0,0,6,4,1,6,0,-1,4,-1,0,1,8,-5,28,3,24,0,-1,18,2,10,21,5,4,-1,2,4,13,-2,0,0,0,0,4,-3,10,0,7,-1,0,1,41,16,0,-1
28,0,0,2,-2,0,1,0,8,0,0,0,-22,-6,0,0,-3,0,-3,0,0,-1,0,-1,-3,8,0,-1,NA,0,0,-2,0,0,0,0,3,0,3,5,7,-4,1,-6,1,-1,0,0,6,-2,0,0,0,1,-2,0,0,0,0,-1,0,-2,0,1,0,0,1,0,0,3,0,0,-3,0,0,0,3,0,-2,1,-9,-3,-3,3,0,0,0,-1,0,-1,0,0,1,-1,0,0,-2,0,-2,3,0,0,-5,0,-2,0,0,0,-1,0,-5,2,-2,-2,0,-2,0,1,-3,0,-2,0,-1,-2,-1,2,0,-2,0,-2,1,-1,-2,-2,0,0,-1,0,3,-8,0,0
29,0,0,0,1,-2,0,0,-2,0,0,0,1,0,-1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,-1,0,1,1,0,-1,1,-4,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,2,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,1,0,-1,0,0,2,2,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0
30,0,-2,0,0,-4,0,0,2,-1,0,0,9,-1,0,1,5,0,1,1,2,0,0,-1,-2,-7,-1,5,0,0,NA,-1,0,0,0,0,2,0,0,1,-2,1,0,-3,0,0,0,2,-1,2,-1,0,0,-1,0,0,0,0,0,-1,-6,-1,-1,0,-2,0,1,-1,1,0,0,2,18,0,0,0,0,0,3,0,0,0,-4,0,0,0,0,0,3,0,0,1,2,1,0,2,0,0,-3,1,0,1,-2,3,1,0,0,0,0,1,0,0,2,0,2,2,0,0,8,5,-3,2,0,5,-1,0,1,0,0,2,1,0,0,2,5,1,1,0,4,-1,-3,-1
31,0,-1,2,3,4,0,3,-1,0,0,-1,0,1,0,-2,3,0,-3,0,-1,0,2,0,2,-9,0,0,-2,0,-1,NA,0,-1,-2,1,1,0,-3,4,-2,0,0,-11,1,0,-1,-1,-3,2,0,2,0,0,0,-3,0,-1,0,0,-1,-2,0,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-3,4,-1,0,-1,0,0,-1,0,-1,-6,1,0,-1,0,-3,0,-1,0,0,1,0,0,2,0,-1,0,0,0,-1,-2,0,3,2,-8,0,-2,-10,1,-1,4,13,-2,1,3,0,0,-2,0,-2,0,0,0,3,-5,0,3,0,1,-1,4,9,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,-1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,-1,-3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0,0,0,-1,0,NA,0,0,-1,0,-1,-1,1,0,0,-1,0,0,0,0,-3,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0
34,0,-2,0,0,-2,-1,0,2,-2,0,-1,1,0,0,-1,-1,0,0,0,1,0,1,0,-1,0,0,3,0,0,0,-2,0,0,NA,0,-3,0,0,-3,-3,-4,0,1,0,0,-3,2,2,1,0,0,-1,0,0,-3,0,0,1,0,1,0,-1,0,-2,0,1,-1,0,0,0,0,-4,0,0,0,0,0,-1,0,0,0,-3,-1,0,0,0,0,0,0,0,0,-2,0,0,3,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,2,-1,0,0,-6,-5,1,0,-2,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,-4,0,0
