"","755064","870355","1309737","1410285","1646013","1890305","2335652","2855003","2881442","3386550","3547852","4046217","4586738","4735341","5670561","6358198","200543394","200594011","201200763","201386115","202001440","202103602","204024521","204245747","204613894","205914660","205923395","206452044","206491319","206772826","208458477","209230380","209298024","210160071","210168045","210168114","210515107"
"755064",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
"870355",0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1309737",0,1,NA,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1
"1410285",0,1,0,NA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"1646013",0,0,1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1890305",0,0,0,0,1,NA,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0
"2335652",0,0,1,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"2855003",0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"2881442",1,0,0,1,0,1,0,0,NA,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3386550",2,0,0,0,1,0,1,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0
"3547852",0,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
"4046217",1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"4586738",0,0,1,0,0,0,0,0,1,0,0,0,NA,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4735341",0,0,2,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"5670561",0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"6358198",0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"200543394",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"200594011",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"201200763",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
"201386115",0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"202001440",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"202103602",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0
"204024521",0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204245747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,0,0,0,1,0,0,1,1,0,0,0,0,2
"204613894",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0
"205914660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0
"205923395",0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,0,0,0,0
"206452044",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0
"206491319",0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,1,0,0,0,1,1,0,0
"206772826",0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,NA,0,1,1,0,0,0,0
"208458477",0,0,0,0,0,2,2,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0
"209230380",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"209298024",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0
"210160071",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0
"210168045",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0
"210168114",0,2,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0
"210515107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
